date,asset,score,raw_score,confidence,status,source,mentions,signal_tweets,kols,bullish,bearish
2026-06-08,energy,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-06-08,metals,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-08,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-08,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-09,energy,,,0.0,no_direction,structured_views,2,0,2,0,0
2026-06-09,metals,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-06-09,grains,-33.3,-100.0,0.333,signal,structured_views,1,1,1,0,1
2026-06-09,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-10,energy,-50.0,-100.0,0.5,signal,structured_views,5,2,5,0,2
2026-06-10,metals,-33.3,-100.0,0.333,signal,structured_views,2,1,2,0,1
2026-06-10,grains,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-06-10,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-11,energy,,,0.0,no_direction,structured_views,3,0,3,0,0
2026-06-11,metals,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-06-11,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-11,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-12,energy,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-06-12,metals,-33.3,-100.0,0.333,signal,structured_views,1,1,1,0,1
2026-06-12,grains,33.3,100.0,0.333,signal,structured_views,2,1,1,1,0
2026-06-12,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-15,energy,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-06-15,metals,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-15,grains,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-06-15,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-06-16,energy,50.0,100.0,0.5,signal,structured_views,2,2,2,2,0
2026-06-16,metals,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-06-16,grains,-33.3,-100.0,0.333,signal,structured_views,2,1,2,0,1
2026-06-16,softs,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-06-24,energy,-60.0,-100.0,0.6,signal,raw_tweets,14,3,9,0,3
2026-06-24,metals,-19.2,-32.0,0.6,signal,raw_tweets,4,3,4,1,2
2026-06-24,grains,,,0.0,no_direction,raw_tweets,1,0,1,0,0
2026-06-24,softs,,,0.0,no_data,raw_tweets,0,0,0,0,0
