date,score,energy_contribution,metals_contribution,grains_contribution,softs_contribution,change_5d,change_20d,coverage,attention,disagreement,mentions,directional_samples,bullish,bearish,event_zh
2026-06-08,,,,,,,,0.0,,,1,0,0,0,中东直接交火，原油风险溢价重定价
2026-06-09,-33.3,,,-33.3,,,,25.0,,0.0,4,1,0,1,最大反转 · 伊以走向停火，原油溢价快速回吐
2026-06-10,-45.8,-37.51,-8.32,,,,,50.0,,0.0,8,3,0,3,
2026-06-11,33.3,,33.3,,,,,25.0,,0.0,4,1,1,0,
2026-06-12,0.0,,-16.65,16.65,,,,50.0,,100.0,4,2,1,1,交易主线 · 油价跌破 $90，押的是“伊朗和平”，但和平根本没签
2026-06-15,33.3,33.3,,,,,,25.0,35.2,0.0,2,1,1,0,伊朗协议实质存疑 · 以黎冲突随时可掀翻桌子
2026-06-16,30.0,30.01,6.66,-6.66,,63.3,,75.0,64.8,50.0,6,4,3,1,美伊协议是 MOU 非正式协议 · 情报界公开质疑核承诺
2026-06-24,-39.6,-30.0,-9.6,,,6.2,,50.0,100.0,33.3,19,6,1,5,科技股领跌抛售 ·「加息预期」成为压制大盘的核心变量
2026-06-30,-26.5,-26.59,,0.12,,-59.8,,50.0,78.2,72.7,16,11,4,7,原油 · 金融需求崩塌 vs 库存见底
2026-07-01,-33.4,-34.47,-2.46,3.54,,-33.4,,75.0,70.0,66.7,15,6,2,4,"贵金属 · 黄金跌破 $4,000，创十余年最差季度"
2026-07-02,-3.7,-17.31,13.63,,,-37.0,,50.0,67.5,100.0,15,6,3,3,"贵金属 · 黄金反弹上破 $4,100：Warsh 转鸽浇灭加息预期"
2026-07-03,-38.9,-39.27,0.42,,,-68.9,,50.0,58.4,50.0,12,8,2,6,"贵金属 · 弱非农强化 Warsh 鸽派，黄金站稳 $4,100…"
2026-07-06,3.2,3.2,,,,42.8,,25.0,52.9,100.0,10,2,1,1,AI半导体 · 英伟达路线图大面积延期/砍单，护城河松动
2026-07-07,,,,,,,,0.0,31.9,,2,0,0,0,AI 资本开支 · 「FCF 毁灭」警告对撞「FEMO」盈利叙事
2026-07-08,33.3,33.3,,,,66.7,,25.0,36.0,0.0,3,1,1,0,宏观经济 · 能源边际成本趋零，利空公用事业，利好拥有太阳能+…
2026-07-09,33.3,33.3,,,,37.0,,25.0,39.4,0.0,4,1,1,0,推理
2026-07-10,,,,,,,,0.0,32.0,,1,0,0,0,俄乌
2026-07-11,33.3,,33.3,,,30.1,,25.0,33.2,0.0,1,1,1,0,英伟达
2026-07-12,,,,,,,,0.0,31.7,,0,0,0,0,
2026-07-13,,,,,,,,0.0,32.8,,0,0,0,0,推理
2026-07-14,,,,,,,,0.0,36.3,,1,0,0,0,中东 · 特朗普对每艘油轮征收20%通行费，…
2026-07-15,33.3,,33.3,,,,66.6,25.0,41.4,0.0,3,1,1,0,天气气候
2026-07-16,,,,,,,,0.0,36.5,,1,0,0,0,比特币 / 加密
2026-07-17,33.3,16.65,16.65,,,,0.0,50.0,40.1,0.0,2,2,2,0,宏观经济 · 一两个大型投资组合经理正在爆仓，连带拖垮所有…
2026-07-18,,,,,,,,0.0,35.5,,0,0,0,0,中国 / 中美
2026-07-19,,,,,,,,0.0,36.2,,0,0,0,0,原油 / 馏分油
2026-07-20,33.3,33.3,,,,0.0,3.3,25.0,39.0,0.0,1,1,1,0,比特币 / 加密
2026-07-21,11.1,-11.1,11.1,11.1,,,50.7,75.0,46.9,66.7,4,3,2,1,中东 · 伊朗不太可能接受卡塔尔10天停火提…
2026-07-22,,,,,,,,0.0,40.3,,1,0,0,0,俄乌
2026-07-23,,,,,,,,0.0,41.3,,1,0,0,0,AI 算力 / GPU
2026-07-24,50.0,50.0,,,,,53.7,25.0,46.0,0.0,2,2,2,0,宏观经济 · @RaoulGMI（全球宏观）：AI代理将替代工资驱…
2026-07-27,,,,,,,,0.0,43.0,,1,0,0,0,推理
2026-07-28,,,,,,,,0.0,37.1,,0,0,0,0,英伟达
2026-07-29,,,,,,,,0.0,33.1,,0,0,0,0,美联储 / 利率
2026-07-30,33.3,,33.3,,,,0.0,25.0,58.3,0.0,2,1,1,0,俄乌
2026-07-31,,,,,,,,0.0,83.8,,4,0,0,0,推理
2026-08-01,,,,,,,,0.0,59.2,,2,0,0,0,俄乌
2026-08-02,33.3,,33.3,,,,0.0,25.0,58.5,0.0,2,1,1,0,推理
2026-08-03,,,,,,,,0.0,33.6,,0,0,0,0,其他 AI / 半导体
2026-08-04,,,,,,,,0.0,45.8,,1,0,0,0,天气气候
2026-08-05,50.0,,50.0,,,,,25.0,82.5,0.0,4,2,2,0,俄乌
